City,State,MGrid,Zip,Lat/Long
"""HILLSBORO",NM,DM62fw,88042,"32.92  -107.56"""
"""KINGSTON",NM,DM62fw,88042,"32.92  -107.56"""
"""HOBBS",NM,DM82kr,88240,"32.73  -103.16"""
"""OIL CENTER",NM,DM82kr,88240,"32.73  -103.16"""
"""HOBBS",NM,DM82kr,88241,"32.73  -103.16"""
"""HOBBS",NM,DM82kr,88242,"32.73  -103.16"""
"""HOBBS",NM,DM82kr,88244,"32.73  -103.16"""
"""LEA COUNTY CORRECTIONAL FAC",NM,DM82kr,88244,"32.73  -103.16"""
"""HOLLOMAN AIR FORCE BASE",NM,DM62wt,88330,"32.83  -106.11"""
"""HOLLOMAN AFB",NM,DM62wt,88330,"32.83  -106.11"""
"""HOLMAN",NM,DM76ha,87723,"36.03  -105.38"""
"""HONDO",NM,DM73ij,88336,"33.38  -105.27"""
"""HOPE",NM,DM72pt,88250,"32.81  -104.73"""
"""HOUSE",NM,DM84bp,88121,"34.64  -103.9"""
"""HURLEY",NM,DM52wq,88043,"32.69  -108.13"""
"""NORTH HURLEY",NM,DM52wq,88043,"32.69  -108.13"""
"""WHITEWATER",NM,DM52wq,88043,"32.69  -108.13"""
"""ISLETA",NM,DM64ov,87022,"34.91  -106.82"""
"""JAL",NM,DM82jc,88252,"32.11  -103.18"""
"""BENNETT",NM,DM82jc,88252,"32.11  -103.18"""
"""JARALES",NM,DM64oo,87023,"34.61  -106.76"""
"""JEMEZ PUEBLO",NM,DM65po,87024,"35.61  -106.72"""
"""JEMEZ",NM,DM65po,87024,"35.61  -106.72"""
"""JEMEZ SPRINGS",NM,DM65ps,87025,"35.77  -106.68"""
"""KIRTLAND",NM,DM56tr,87417,"36.73  -108.34"""
"""LAGUNA",NM,DM65ha,87026,"35.03  -107.39"""
"""CANONCITO",NM,DM65ha,87026,"35.03  -107.39"""
"""MESITA",NM,DM65ha,87026,"35.03  -107.39"""
"""OLD LAGUNA",NM,DM65ha,87026,"35.03  -107.39"""
"""TOHAJIILEE",NM,DM65ha,87026,"35.03  -107.39"""
"""CONONCITO",NM,DM65ha,87026,"35.03  -107.39"""
"""LA JARA",NM,DM66mb,87027,"36.08  -106.97"""
"""LLAVES",NM,DM66mb,87027,"36.08  -106.97"""
"""REGINA",NM,DM66me,87046,"36.18  -106.95"""
"""LA JARA",NM,DM66me,87046,"36.18  -106.95"""
"""LA JOYA",NM,DM64ni,87028,"34.34  -106.84"""
"""CONTRERAS",NM,DM64ni,87028,"34.34  -106.84"""
"""LAKE ARTHUR",NM,DM72tx,88253,"32.99  -104.36"""
"""LAKEWOOD",NM,DM72to,88254,"32.61  -104.35"""
"""SEVEN RIVERS",NM,DM72to,88254,"32.61  -104.35"""
"""LA LOMA",NM,DM75le,87724,"35.19  -105.08"""
"""DILIA",NM,DM75le,87724,"35.19  -105.08"""
"""LA LUZ",NM,DM72ax,88337,"32.97  -105.93"""
"""LA MADERA",NM,DM66xj,87539,"36.38  -106.04"""
"""SERVILLETA PLAZA",NM,DM66xj,87539,"36.38  -106.04"""
"""LA MESA",NM,DM62pc,88044,"32.12  -106.7"""
"""SANTO TOMAS",NM,DM62pc,88044,"32.12  -106.7"""
"""LA PLATA",NM,DM56vw,87418,"36.92  -108.19"""
"""LAS CRUCES",NM,DM62ph,88001,"32.33  -106.75"""
"""TORTUGAS",NM,DM62ph,88001,"32.33  -106.75"""
